Time,Systemic1.abdominal_aorta_C114_module.v,Systemic1.abdominal_aorta_C114_module.u
3.33,0.00011791313,16819.012
3.34,0.000102083286,16601.287
3.35,8.804484e-05,16379.674
3.36,7.6011216e-05,16166.624
3.37,6.6084904e-05,15972.224
3.38,5.826137e-05,15803.625
3.39,5.2438183e-05,15664.882
3.4,4.8429865e-05,15557.145
3.41,4.5987847e-05,15479.103
3.42,4.4823875e-05,15427.568
3.43,4.4634464e-05,15398.1045
3.44,4.512385e-05,15385.606
3.45,4.6023113e-05,15384.785
3.46,4.710416e-05,15390.553
3.47,4.8187947e-05,15398.284
3.48,4.9147235e-05,15403.991
3.49,4.990467e-05,15404.423
3.5,5.0427334e-05,15397.102
3.51,5.0718983e-05,15380.323
3.52,5.081108e-05,15353.125
3.53,5.0753642e-05,15315.224
3.54,5.0606563e-05,15266.937
3.55,5.043195e-05,15209.077
3.56,5.02878e-05,15142.85
3.57,5.0223116e-05,15069.723
3.58,5.0274564e-05,14991.309
3.59,5.0464514e-05,14909.254
3.6,5.080043e-05,14825.127
3.61,5.12754e-05,14740.339
3.62,5.1869632e-05,14656.079
3.63,5.2552685e-05,14573.2705
3.64,5.3286218e-05,14492.554
3.65,5.4027038e-05,14414.293
3.66,5.4730208e-05,14338.589
3.67,5.535202e-05,14265.32
3.68,5.5852666e-05,14194.185
3.69,5.6198445e-05,14124.748
3.7,5.636344e-05,14056.494
3.71,5.63306e-05,13988.872
3.72,5.6092205e-05,13921.342
3.73,5.5649765e-05,13853.405
3.74,5.501343e-05,13784.643
3.75,5.4200926e-05,13714.723
3.76,5.3236225e-05,13643.422
3.77,5.2147974e-05,13570.623
3.78,5.096783e-05,13496.313
3.79,4.9728784e-05,13420.573
3.8,4.8463608e-05,13343.563
3.81,4.7203426e-05,13265.508
3.82,4.5976532e-05,13186.672
3.83,4.4807457e-05,13107.346
3.84,4.371631e-05,13027.824
3.85,4.2718417e-05,12948.393
3.86,4.182419e-05,12869.308
3.87,4.1039268e-05,12790.792
3.88,4.0364834e-05,12713.023
3.89,3.9798117e-05,12636.132
3.9,3.9333005e-05,12560.195
3.91,3.8960705e-05,12485.249
3.92,3.8670474e-05,12411.28
3.93,3.8450307e-05,12338.241
3.94,3.82876e-05,12266.057
3.95,3.816973e-05,12194.626
3.96,3.8084563e-05,12123.836
3.97,3.802086e-05,12053.568
3.98,3.796856e-05,11983.707
3.99,3.7919002e-05,11914.142
4,3.7865e-05,11844.775
4.01,3.7800877e-05,11775.527
4.02,3.77224e-05,11706.334
4.03,3.7626673e-05,11637.152
4.04,3.751198e-05,11567.956
4.05,3.7377624e-05,11498.738
4.06,3.722371e-05,11429.506
4.07,3.7050973e-05,11360.281
4.08,3.6860612e-05,11291.096
4.09,3.6654114e-05,11221.986
4.1,3.6433117e-05,11152.997
4.11,3.619932e-05,11084.172
4.12,3.59852e-05,11017.729
4.13,3.650598e-05,10989.402
4.14,4.0540173e-05,11100.283
4.15,5.2126663e-05,11450.984
4.16,7.3808966e-05,12062.997
4.17,0.00010487928,12872.408
4.18,0.00014176994,13775.25
4.19,0.00017966104,14673.015
4.2,0.00021401979,15494.634
4.21,0.00024147678,16199.038
4.22,0.0002601174,16771.145
4.23,0.00026947068,17217.1
4.24,0.0002702277,17554.375
4.25,0.00026377442,17801.084
4.26,0.0002517398,17969.834
4.27,0.00023568716,18066.844
4.28,0.00021697204,18094.47
4.29,0.00019672082,18054.729
4.3,0.00017586522,17952.059
4.31,0.00015518474,17794.625
4.32,0.00013533424,17594.201
4.33,0.000116854375,17365.094
4.34,0.000100170866,17122.596
4.35,8.5590254e-05,16881.418
4.36,7.329688e-05,16654.355
4.37,6.3354e-05,16451.363
4.38,5.5710392e-05,16279.084
4.39,5.0213097e-05,16140.799
4.4,4.6626086e-05,16036.741
4.41,4.4653785e-05,15964.645
4.42,4.3967324e-05,15920.405
4.43,4.4230877e-05,15898.764
4.44,4.5125445e-05,15893.916
4.45,4.636794e-05,15900.018
4.46,4.7724374e-05,15911.562
4.47,4.901677e-05,15923.644
4.48,5.0124323e-05,15932.115
4.49,5.09798e-05,15933.68
4.5,5.1562474e-05,15925.904
4.51,5.1888932e-05,15907.215
4.52,5.2002953e-05,15876.836
4.53,5.1965442e-05,15834.717
4.54,5.1845116e-05,15781.431
4.55,5.17105e-05,15718.056
4.56,5.1623447e-05,15646.052
4.57,5.1634324e-05,15567.118
4.58,5.177885e-05,15483.067
4.59,5.2076517e-05,15395.698
4.6,5.253036e-05,15306.691
4.61,5.3127984e-05,15217.522
4.62,5.3843552e-05,15129.399
4.63,5.4640466e-05,15043.229
4.64,5.5474593e-05,14959.602
4.65,5.629765e-05,14878.808
4.66,5.7060628e-05,14800.863
4.67,5.771696e-05,14725.552
4.68,5.8225298e-05,14652.476
4.69,5.8551745e-05,14581.112
4.7,5.8671456e-05,14510.869
4.71,5.8569603e-05,14441.133
4.72,5.8241636e-05,14371.317
4.73,5.769296e-05,14300.898
4.74,5.6938094e-05,14229.443
4.75,5.5999375e-05,14156.626
4.76,5.4905366e-05,14082.241
4.77,5.368907e-05,14006.2
4.78,5.2386105e-05,13928.525
4.79,5.1032886e-05,13849.339
4.8,4.9664955e-05,13768.845
4.81,4.8315484e-05,13687.308
