Time,Systemic1.abdominal_aorta_C114_module.v,Systemic1.abdominal_aorta_C114_module.u
8.44,4.6519468e-05,16568.963
8.45,4.7770383e-05,16570.375
8.46,4.917934e-05,16578.494
8.47,5.0545274e-05,16587.969
8.48,5.1743453e-05,16594.676
8.49,5.2693442e-05,16595.092
8.5,5.3361924e-05,16586.258
8.51,5.376524e-05,16566.607
8.52,5.3940807e-05,16535.367
8.53,5.3938285e-05,16492.275
8.54,5.3825373e-05,16437.645
8.55,5.3675012e-05,16372.369
8.56,5.35554e-05,16297.852
8.57,5.352353e-05,16215.797
8.58,5.3621214e-05,16128.064
8.59,5.3872256e-05,16036.503
8.6,5.4280863e-05,15942.911
8.61,5.4841265e-05,15848.867
8.62,5.553249e-05,15755.702
8.63,5.6319306e-05,15664.417
8.64,5.7157114e-05,15575.645
8.65,5.8000176e-05,15489.858
8.66,5.8796664e-05,15407.166
8.67,5.9496608e-05,15327.358
8.68,6.005563e-05,15250.083
8.69,6.043438e-05,15174.772
8.7,6.0604587e-05,15100.783
8.71,6.05487e-05,15027.47
8.72,6.0259696e-05,14954.214
8.73,5.9741207e-05,14880.442
8.74,5.9006758e-05,14805.691
8.75,5.8077963e-05,14729.604
8.76,5.6982943e-05,14651.927
8.77,5.5754488e-05,14572.537
8.78,5.4428754e-05,14491.445
8.79,5.304512e-05,14408.751
8.8,5.164262e-05,14324.717
8.81,5.0255247e-05,14239.573
8.82,4.89137e-05,14153.652
8.83,4.7644575e-05,14067.322
8.84,4.6470443e-05,13980.885
8.85,4.5402638e-05,13894.673
8.86,4.4455926e-05,13808.968
8.87,4.363035e-05,13723.976
8.88,4.2925192e-05,13639.866
8.89,4.2337815e-05,13556.767
8.9,4.185789e-05,13474.703
8.91,4.147839e-05,13393.739
8.92,4.11867e-05,13313.816
8.93,4.0970197e-05,13234.905
8.94,4.081593e-05,13156.909
8.95,4.0709623e-05,13079.735
8.96,4.0638108e-05,13003.267
8.97,4.0588693e-05,12927.375
8.98,4.0549985e-05,12851.932
8.99,4.051246e-05,12776.816
9,4.046847e-05,12701.917
9.01,4.041006e-05,12627.154
9.02,4.033506e-05,12552.443
9.03,4.0241226e-05,12477.75
9.04,4.012605e-05,12403.055
9.05,3.9988783e-05,12328.353
9.06,3.9829323e-05,12253.649
9.07,3.9648192e-05,12178.963
