environment | time (second),Systemic | abdominal_aorta_C114 | u (J_per_m3),Systemic | abdominal_aorta_C114 | v (m3_per_s)
2.39,15882.6,6.89617e-5
2.4,15739.2,6.25211e-5
2.41,15617,5.75632e-5
2.42,15517.3,5.39686e-5
2.43,15439.3,5.15661e-5
2.44,15380.9,5.01503e-5
2.45,15339,4.95005e-5
2.46,15309.9,4.93989e-5
2.47,15289.9,4.96454e-5
2.48,15275.2,5.00684e-5
2.49,15262.5,5.0532e-5
2.5,15248.8,5.09377e-5
2.51,15231.5,5.12241e-5
2.52,15208.9,5.13624e-5
2.53,15179.5,5.13513e-5
2.54,15142.6,5.12108e-5
2.55,15097.7,5.09747e-5
2.56,15045.2,5.06853e-5
2.57,14985.3,5.0387e-5
2.58,14919.1,5.01218e-5
2.59,14847.5,4.99256e-5
2.6,14771.7,4.98257e-5
2.61,14693,4.98389e-5
2.62,14612.5,4.99713e-5
2.63,14531.2,5.02181e-5
2.64,14450.1,5.05648e-5
2.65,14369.9,5.09889e-5
2.66,14291.2,5.14616e-5
2.67,14214.1,5.19501e-5
2.68,14138.9,5.24201e-5
2.69,14065.5,5.28377e-5
2.7,13993.7,5.31717e-5
2.71,13923.1,5.33953e-5
2.72,13853.5,5.34872e-5
2.73,13784.4,5.34328e-5
2.74,13715.5,5.32245e-5
2.75,13646.3,5.28615e-5
2.76,13576.5,5.23499e-5
2.77,13506,5.17015e-5
2.78,13434.4,5.0933e-5
2.79,13361.8,5.00652e-5
2.8,13288,4.91211e-5
2.81,13213.2,4.81253e-5
2.82,13137.5,4.71023e-5
2.83,13061,4.6076e-5
2.84,12983.8,4.50679e-5
2.85,12906.4,4.40974e-5
2.86,12828.7,4.31805e-5
2.87,12751.2,4.23296e-5
2.88,12673.9,4.15538e-5
2.89,12597,4.08583e-5
2.9,12520.8,4.02451e-5
2.91,12445.2,3.97131e-5
2.92,12370.4,3.92587e-5
2.93,12296.3,3.8876e-5
2.94,12223.1,3.85577e-5
2.95,12150.6,3.82952e-5
2.96,12078.9,3.80794e-5
2.97,12007.8,3.79012e-5
2.98,11937.3,3.77514e-5
2.99,11867.2,3.76218e-5
3,11797.6,3.75045e-5
3.01,11728.2,3.7393e-5
3.02,11659.1,3.72816e-5
3.03,11590.2,3.71658e-5
3.04,11521.5,3.70419e-5
3.05,11452.8,3.69077e-5
3.06,11384.2,3.67613e-5
3.07,11315.6,3.66021e-5
3.08,11247.2,3.64297e-5
3.09,11178.8,3.62444e-5
3.1,11110.5,3.60469e-5
3.11,11042.4,3.58381e-5
3.12,10974.6,3.56214e-5
3.13,10920.6,3.56309e-5
3.14,10951.5,3.75637e-5
3.15,11173.9,4.49966e-5
3.16,11644.4,6.12318e-5
3.17,12331.5,8.69267e-5
3.18,13144.7,0.000119628
3.19,13983.1,0.000155004
3.2,14767.7,0.000188486
3.21,15449.7,0.000216406
3.22,16008.9,0.000236489
3.23,16448.9,0.000247947
3.24,16786.6,0.000251223
3.25,17040.1,0.000247513
3.26,17222.3,0.000238299
3.27,17339.2,0.000225021
3.28,17392.3,0.000208939
3.29,17382.5,0.000191105
3.3,17312.4,0.000172397
3.31,17188.3,0.000153559
3.32,17020,0.000135224
3.33,16820,0.000117926
3.34,16602.3,0.000102095
3.35,16380.6,8.80556e-5
3.36,16167.6,7.60207e-5
3.37,15973.2,6.60931e-5
3.38,15804.5,5.82683e-5
3.39,15665.8,5.24439e-5
3.4,15558,4.84345e-5
3.41,15479.9,4.59916e-5
3.42,15428.4,4.48269e-5
3.43,15398.9,4.46369e-5
3.44,15386.4,4.5126e-5
3.45,15385.6,4.6025e-5
3.46,15391.3,4.7106e-5
3.47,15399,4.81898e-5
3.48,15404.7,4.91491e-5
3.49,15405.2,4.99067e-5
3.5,15397.8,5.04295e-5
3.51,15381.1,5.07212e-5
3.52,15353.9,5.08134e-5
3.53,15316,5.0756e-5
3.54,15267.7,5.06089e-5
3.55,15209.8,5.04343e-5
3.56,15143.6,5.02901e-5
3.57,15070.5,5.02253e-5
3.58,14992.1,5.02766e-5
3.59,14910,5.04665e-5
3.6,14825.9,5.08023e-5
3.61,14741.1,5.12771e-5
3.62,14656.8,5.18713e-5
3.63,14574,5.25543e-5
3.64,14493.3,5.32878e-5
3.65,14415,5.40286e-5
3.66,14339.3,5.47317e-5
3.67,14266,5.53536e-5
3.68,14194.9,5.58543e-5
3.69,14125.4,5.62002e-5
3.7,14057.2,5.63653e-5
3.71,13989.6,5.63325e-5
3.72,13922,5.60943e-5
3.73,13854.1,5.56519e-5
3.74,13785.3,5.50157e-5
3.75,13715.4,5.42033e-5
3.76,13644.1,5.32387e-5
3.77,13571.3,5.21505e-5
3.78,13497,5.09704e-5
3.79,13421.2,4.97314e-5
3.8,13344.2,4.84662e-5
3.81,13266.2,4.7206e-5
3.82,13187.3,4.59791e-5
3.83,13108,4.481e-5
3.84,13028.5,4.37188e-5
3.85,12949,4.27208e-5
3.86,12869.9,4.18265e-5
3.87,12791.4,4.10415e-5
3.88,12713.6,4.0367e-5
3.89,12636.7,3.98002e-5
3.9,12560.8,3.9335e-5
3.91,12485.9,3.89626e-5
3.92,12411.9,3.86724e-5
3.93,12338.8,3.84521e-5
3.94,12266.6,3.82894e-5
3.95,12195.2,3.81715e-5
3.96,12124.4,3.80863e-5
3.97,12054.1,3.80225e-5
3.98,11984.3,3.79702e-5
3.99,11914.7,3.79206e-5
4,11845.3,3.78666e-5
4.01,11776.1,3.78025e-5
4.02,11706.9,3.7724e-5
4.03,11637.7,3.76283e-5
4.04,11568.5,3.75136e-5
4.05,11499.3,3.73792e-5
4.06,11430.1,3.72253e-5
4.07,11360.8,3.70526e-5
4.08,11291.6,3.68622e-5
4.09,11222.5,3.66557e-5
4.1,11153.5,3.64347e-5
4.11,11084.7,3.62009e-5
4.12,11018.3,3.59869e-5
4.13,10990,3.65094e-5
4.14,11101.1,4.05502e-5
4.15,11452.2,5.21497e-5
4.16,12064.7,7.38491e-5
4.17,12874.5,0.000104937
4.18,13777.7,0.000141841
4.19,14675.6,0.000179742
4.2,15497.4,0.000214105
4.21,16201.9,0.000241563
4.22,16774.1,0.0002602
